target,total,positive,negative,positive_rate
lactate_high,939,227,712,0.2417465388711395
troponin_high,1037,780,257,0.7521697203471552
glucose_high,1061,547,514,0.5155513666352498
hemoglobin_low,1104,853,251,0.7726449275362319
po2_low,984,114,870,0.11585365853658537
pco2_abnormal,939,226,713,0.24068157614483493
high_blood_pressure,1268,478,790,0.37697160883280756
coronary_context,0,0,0,
lactate_moderate_high,939,4,935,0.004259850905218318
troponin_extreme_high,1037,101,936,0.09739633558341369
glucose_marked_high,1061,242,819,0.22808671065032987
hemoglobin_moderate_low,1104,154,950,0.13949275362318841
po2_moderate_low,984,28,956,0.028455284552845527
pco2_low,939,33,906,0.03514376996805112
pco2_high,939,31,908,0.03301384451544196
