split,target,metric_accuracy,metric_balanced_accuracy,metric_f1,metric_roc_auc,metric_average_precision,metric_tn,metric_fp,metric_fn,metric_tp,metric_n,metric_positive_rate,status,reason
train,lactate_high,0.5416666666666666,0.6517927581265799,0.45109780439121755,0.7308367277937885,0.42291352412072447,212.0,255.0,20.0,113.0,600.0,0.22166666388511658,,
val,lactate_high,0.4673913043478261,0.5230037017451085,0.4673913043478261,0.4928609201480698,0.36034714232099546,43.0,79.0,19.0,43.0,184.0,0.33695653080940247,,
test,lactate_high,0.535483870967742,0.6379573170731707,0.41935483870967744,0.6473577235772358,0.3395648915923799,57.0,66.0,6.0,26.0,155.0,0.20645160973072052,,
train,troponin_high,0.8171701112877583,0.7347058823529411,0.8775292864749734,0.9038177623990773,0.934466843213186,102.0,102.0,13.0,412.0,629.0,0.6756756901741028,,
val,troponin_high,0.7731481481481481,0.547979797979798,0.868632707774799,0.4677328843995511,0.9082241671952411,5.0,13.0,36.0,162.0,216.0,0.9166666865348816,,
test,troponin_high,0.703125,0.4854413102820746,0.8201892744479495,0.43657870791628756,0.8036319504401721,5.0,30.0,27.0,130.0,192.0,0.8177083134651184,,
train,glucose_high,0.8986013986013986,0.9003180039138943,0.8917910447761194,0.9723703522504894,0.9776728212059429,275.0,5.0,53.0,239.0,572.0,0.5104895234107971,,
val,glucose_high,0.6,0.6046153846153846,0.48484848484848486,0.5284923076923077,0.6342893857728371,105.0,20.0,82.0,48.0,255.0,0.5098039507865906,,
test,glucose_high,0.452991452991453,0.47743119266055045,0.189873417721519,0.48227522935779815,0.5295588493162627,91.0,18.0,110.0,15.0,234.0,0.5341880321502686,,
train,hemoglobin_low,0.8857589984350548,0.8692806603773585,0.9222577209797657,0.9312237945492663,0.9731550254826982,133.0,26.0,47.0,433.0,639.0,0.751173734664917,,
val,hemoglobin_low,0.696969696969697,0.5728021978021978,0.803921568627451,0.6120268620268621,0.8560403587785073,15.0,27.0,33.0,123.0,198.0,0.7878788113594055,,
test,hemoglobin_low,0.6254681647940075,0.42327188940092164,0.7641509433962265,0.5049769585253456,0.8290917167046998,5.0,45.0,55.0,162.0,267.0,0.812734067440033,,
train,po2_low,0.8896434634974533,0.8531766455080918,0.6242774566473989,0.9427288843140619,0.7966444389107038,470.0,52.0,13.0,54.0,589.0,0.11375211924314499,,
val,po2_low,0.7607655502392344,0.5967411545623836,0.3055555555555556,0.49441340782122906,0.1810336570899103,148.0,31.0,19.0,11.0,209.0,0.1435406655073166,,
test,po2_low,0.8010752688172043,0.6524538809606684,0.3018867924528302,0.6073790462930735,0.3617067183719396,141.0,28.0,9.0,8.0,186.0,0.09139785170555115,,
train,pco2_abnormal,0.9119170984455959,0.9269951785292829,0.8327868852459016,0.970194544657608,0.9136290575828503,401.0,45.0,6.0,127.0,579.0,0.22970639169216156,,
val,pco2_abnormal,0.6741573033707865,0.6802721088435374,0.5396825396825397,0.7153931339977851,0.5167356041331869,86.0,43.0,15.0,34.0,178.0,0.2752808928489685,,
test,pco2_abnormal,0.4945054945054945,0.4654150197628458,0.28125,0.46063899868247693,0.22664641603680624,72.0,66.0,26.0,18.0,182.0,0.24175824224948883,,
train,high_blood_pressure,0.5912921348314607,0.5,0.0,0.5438123923566047,0.42775953144400947,421.0,0.0,291.0,0.0,712.0,0.408707857131958,,
val,high_blood_pressure,0.7231270358306189,0.5,0.0,0.36481187069422366,0.21695037863838312,222.0,0.0,85.0,0.0,307.0,0.2768729627132416,,
test,high_blood_pressure,0.5903614457831325,0.5,0.0,0.5630919034280378,0.49039837587596335,147.0,0.0,102.0,0.0,249.0,0.40963855385780334,,
test,coronary_context,,,,,,,,,,,,skipped,insufficient patients
test,lactate_moderate_high,,,,,,,,,,,,skipped,"insufficient class: pos=3, neg=584"
train,troponin_extreme_high,0.6062015503875969,0.5361111111111111,0.17532467532467533,0.5834472934472934,0.12194397625687776,364.0,221.0,33.0,27.0,645.0,0.09302325546741486,,
val,troponin_extreme_high,0.6620370370370371,0.6103561387066542,0.24742268041237114,0.6216026241799437,0.17090859273492423,131.0,63.0,10.0,12.0,216.0,0.10185185074806213,,
test,troponin_extreme_high,0.6306818181818182,0.5848139456922561,0.23529411764705882,0.6228628897083472,0.16825027923464603,101.0,56.0,9.0,10.0,176.0,0.10795454680919647,,
