target,total,positive,negative,positive_rate
lactate_high,731,707,24,0.9671682626538988
troponin_high,731,731,0,1.0
glucose_high,731,556,175,0.7606019151846786
hemoglobin_low,731,723,8,0.9890560875512996
po2_low,731,459,272,0.627906976744186
pco2_abnormal,731,655,76,0.896032831737346
high_blood_pressure,435,180,255,0.41379310344827586
coronary_context,731,0,731,0.0
lactate_moderate_high,731,145,586,0.19835841313269495
troponin_extreme_high,731,296,435,0.4049247606019152
glucose_marked_high,731,400,331,0.5471956224350205
hemoglobin_moderate_low,731,214,517,0.292749658002736
po2_moderate_low,731,204,527,0.27906976744186046
pco2_low,731,161,570,0.22024623803009577
pco2_high,731,240,491,0.3283173734610123
