split,target,metric_accuracy,metric_balanced_accuracy,metric_f1,metric_roc_auc,metric_average_precision,metric_tn,metric_fp,metric_fn,metric_tp,metric_n,metric_positive_rate,status,reason
train,lactate_high,0.6950959488272921,0.7311066126855601,0.8154838709677419,0.8004385964912282,0.9934695347735947,10.0,3.0,140.0,316.0,469.0,0.9722814559936523,,
val,lactate_high,0.6142857142857143,0.5869380831212893,0.75,0.5843935538592028,0.9550537082000683,5.0,4.0,50.0,81.0,140.0,0.9357143044471741,,
test,lactate_high,0.6721311475409836,0.3416666666666667,0.803921568627451,0.3125,0.9806309786195517,0.0,2.0,38.0,82.0,122.0,0.9836065769195557,,
test,troponin_high,,,,,,,,,,,,skipped,"insufficient class: pos=459, neg=0"
train,glucose_high,0.24885844748858446,0.5,0.0,0.5650288614372159,0.8040716394154399,109.0,0.0,329.0,0.0,438.0,0.7511415481567383,,
val,glucose_high,0.1440677966101695,0.5,0.0,0.557367501456028,0.8898968368688367,17.0,0.0,101.0,0.0,118.0,0.8559321761131287,,
test,glucose_high,0.28,0.5,0.0,0.5225137674117266,0.7627688442894374,49.0,0.0,126.0,0.0,175.0,0.7200000286102295,,
test,hemoglobin_low,,,,,,,,,,,,skipped,"insufficient class: pos=496, neg=3"
train,po2_low,0.9474835886214442,0.956989247311828,0.9550561797752809,0.9976440739398332,0.9985567343278656,178.0,0.0,24.0,255.0,457.0,0.6105032563209534,,
val,po2_low,0.6689655172413793,0.6882352941176471,0.6712328767123288,0.67,0.7241742210157814,48.0,12.0,36.0,49.0,145.0,0.5862069129943848,,
test,po2_low,0.5038759689922481,0.5592879256965945,0.5675675675675675,0.5154798761609907,0.7887705828584233,23.0,11.0,53.0,42.0,129.0,0.7364341020584106,,
train,pco2_abnormal,1.0,1.0,1.0,1.0,1.0,53.0,0.0,0.0,377.0,430.0,0.8767442107200623,,
val,pco2_abnormal,0.9,0.576923076923077,0.9465648854961832,0.5992307692307692,0.9573159067903977,2.0,8.0,6.0,124.0,140.0,0.9285714030265808,,
test,pco2_abnormal,0.8695652173913043,0.47297297297297297,0.9302325581395349,0.5093555093555093,0.9367492120713992,0.0,13.0,8.0,140.0,161.0,0.9192546606063843,,
train,high_blood_pressure,0.6334661354581673,0.6624593363695511,0.6617647058823529,0.7244632400780742,0.619329279798935,69.0,76.0,16.0,90.0,251.0,0.4223107695579529,,
val,high_blood_pressure,0.5789473684210527,0.6013513513513513,0.5652173913043478,0.5880708294501398,0.46856685858426506,29.0,29.0,11.0,26.0,95.0,0.38947367668151855,,
test,high_blood_pressure,0.4157303370786517,0.45322245322245325,0.49019607843137253,0.4495841995841996,0.3982061558650596,12.0,40.0,12.0,25.0,89.0,0.4157303273677826,,
test,coronary_context,,,,,,,,,,,,skipped,"insufficient class: pos=0, neg=476"
train,lactate_moderate_high,0.8008948545861297,0.6140457397287998,0.36879432624113473,0.7243810294812115,0.39419372754157406,332.0,34.0,55.0,26.0,447.0,0.1812080591917038,,
val,lactate_moderate_high,0.7532467532467533,0.543448275862069,0.24,0.5740689655172413,0.23180551569546448,110.0,15.0,23.0,6.0,154.0,0.18831168115139008,,
test,lactate_moderate_high,0.6615384615384615,0.4977443609022556,0.18518518518518517,0.40992481203007525,0.24267192647005142,81.0,14.0,30.0,5.0,130.0,0.26923078298568726,,
train,troponin_extreme_high,1.0,1.0,1.0,1.0,1.0,224.0,0.0,0.0,183.0,407.0,0.4496314525604248,,
val,troponin_extreme_high,0.5538461538461539,0.5319444444444444,0.3958333333333333,0.4697222222222222,0.3329643086645928,53.0,37.0,21.0,19.0,130.0,0.3076923191547394,,
test,troponin_extreme_high,0.5670103092783505,0.5632288010868334,0.4878048780487805,0.594248839578852,0.48326628861468346,70.0,51.0,33.0,40.0,194.0,0.37628865242004395,,
train,glucose_marked_high,0.7310513447432763,0.7210421466973886,0.7773279352226721,0.8142281105990783,0.824595337794597,107.0,85.0,25.0,192.0,409.0,0.5305623412132263,,
val,glucose_marked_high,0.559748427672956,0.5384057971014493,0.6428571428571429,0.5607085346215781,0.6803444624426221,26.0,43.0,27.0,63.0,159.0,0.5660377144813538,,
test,glucose_marked_high,0.4601226993865031,0.42265745007680494,0.5925925925925926,0.3878648233486943,0.552398443226133,11.0,59.0,29.0,64.0,163.0,0.5705521702766418,,
train,hemoglobin_moderate_low,0.6967592592592593,0.7464723233504291,0.6135693215339233,0.8600621827748399,0.7582241551960456,197.0,114.0,17.0,104.0,432.0,0.28009259700775146,,
val,hemoglobin_moderate_low,0.5033557046979866,0.5124242424242424,0.421875,0.4315151515151515,0.292355859875971,48.0,51.0,23.0,27.0,149.0,0.33557048439979553,,
test,hemoglobin_moderate_low,0.48,0.48945881330145624,0.36065573770491804,0.5385785698761139,0.4016089036081412,50.0,57.0,21.0,22.0,150.0,0.2866666615009308,,
train,po2_moderate_low,1.0,1.0,1.0,1.0,1.0000000000000002,307.0,0.0,0.0,138.0,445.0,0.3101123571395874,,
val,po2_moderate_low,0.5983606557377049,0.649317738791423,0.449438202247191,0.6818713450292397,0.37360649190951745,53.0,42.0,7.0,20.0,122.0,0.22131147980690002,,
test,po2_moderate_low,0.5548780487804879,0.5404102564102564,0.35398230088495575,0.5811282051282052,0.3521639664428064,71.0,54.0,19.0,20.0,164.0,0.23780487477779388,,
train,pco2_low,1.0,1.0,1.0,1.0,1.0,335.0,0.0,0.0,87.0,422.0,0.20616114139556885,,
val,pco2_low,0.8098591549295775,0.6698446327683616,0.4489795918367347,0.6730225988700564,0.3551017702770315,104.0,14.0,13.0,11.0,142.0,0.1690140813589096,,
test,pco2_low,0.5808383233532934,0.48324786324786323,0.2553191489361702,0.3943589743589744,0.2696752395057112,85.0,32.0,38.0,12.0,167.0,0.299401193857193,,
train,pco2_high,0.9074074074074074,0.9002740881298756,0.8701298701298701,0.9552088457844309,0.938430782562457,258.0,21.0,19.0,134.0,432.0,0.3541666567325592,,
val,pco2_high,0.6136363636363636,0.5625,0.41379310344827586,0.5736053719008265,0.44092779861126186,63.0,25.0,26.0,18.0,132.0,0.3333333432674408,,
test,pco2_high,0.5868263473053892,0.5318829707426856,0.34285714285714286,0.5954613653413354,0.3183623362699717,80.0,44.0,25.0,18.0,167.0,0.257485032081604,,
