,,raw_r,partial_r,p_partial,delta,n
hemoglobin,po2,-0.13908399215089398,0.015601248078629889,0.6767432728327332,0.15468524022952387,717.0
hemoglobin,glucose,-0.14345673344631804,-0.04801949814832078,0.19910487847925196,0.09543723529799726,717.0
hemoglobin,lactate,0.1266138961734938,0.051789860413631775,0.16602047234059936,-0.07482403575986203,717.0
glucose,po2,0.2517911490963462,0.21675111555149357,3.97800681284366e-09,-0.03504003354485263,717.0
glucose,lactate,0.11803801769131252,0.14763869229601306,7.065625548197119e-05,0.029600674604700547,717.0
glucose,troponin,0.07943402206289969,0.06301709052066945,0.09177653954053433,-0.016416931542230243,717.0
lactate,po2,-0.18062978945243036,-0.15022814307592658,5.236182046886029e-05,0.030401646376503777,717.0
lactate,troponin,0.03545000534905295,0.05058309562714108,0.17612776551271692,0.015133090278088124,717.0
hemoglobin,troponin,-0.019296103444373762,0.049221290419816835,0.18807508380201687,0.06851739386419059,717.0
glucose,hemoglobin,-0.14345673344631804,-0.04801949814832078,0.19910487847925196,0.09543723529799726,717.0
lactate,hemoglobin,0.1266138961734938,0.051789860413631775,0.16602047234059936,-0.07482403575986203,717.0
po2,lactate,-0.18062978945243036,-0.15022814307592658,5.236182046886029e-05,0.030401646376503777,717.0
