feature,mean,median,std
ecg_rms,1.3870237827697563e-08,1.8731932795565148e-08,1.2648992670271434e-08
ecg_total_power,0.0001684988613710696,0.0001424103397507436,0.00017050833130783638
ecg_mean_abs,0.07470460009526246,0.06607524723561953,0.04451908408139481
ecg_ptp,0.1754758424998864,0.16255590094553735,0.0824639992203298
ecg_max,0.23036729111241533,0.21278733278746043,0.1180110333280418
ecg_zero_crossing_rate,0.2148603260413088,0.22049441050549143,0.0992474875047895
ecg_spectral_centroid,0.25306914860360735,0.24872450341754834,0.13150974901069803
ecg_min,0.302937633447746,0.2778977073538823,0.16796174043357504
hr,0.3186349641660187,0.28545544373787246,0.1764222065431031
ecg_skewness,1.0106005164880996,0.6451401529902321,1.5280273987092103
ecg_kurtosis,0.7469556790415919,0.675036553364504,0.4813135516374324
pnn50,0.7021552562719025,0.6853312729086825,0.3789530048584694
sdnn,0.7436278126302514,0.7488076003819402,0.33304005849618973
rmssd,0.7507325128763499,0.7732567376687168,0.3265057927709085
ecg_lf_hf_ratio,0.9134799752292774,0.8894989980285478,0.3558817532739876
